iter	Passed	Remaining
408	2495	3605
409	2499	3596
410	2519	3610
411	2521	3598
412	2523	3586
413	2525	3574
414	2527	3562
415	2531	3554
416	2534	3543
417	2536	3532
418	2538	3520
419	2540	3508
420	2542	3496
421	2547	3489
422	2549	3477
423	2551	3466
424	2566	3472
425	2568	3460
426	2570	3449
427	2572	3437
428	2574	3427
429	2582	3422
430	2584	3411
431	2586	3400
432	2588	3388
433	2590	3377
434	2593	3369
435	2595	3357
436	2597	3346
437	2598	3334
438	2600	3323
439	2602	3312
440	2619	3319
441	2621	3309
442	2627	3304
443	2629	3293
444	2631	3282
445	2633	3271
446	2636	3261
447	2638	3250
448	2643	3243
449	2645	3232
450	2647	3223
451	2650	3213
452	2652	3202
453	2673	3214
454	2678	3208
455	2680	3197
456	2682	3186
457	2683	3176
458	2685	3165
459	2689	3157
460	2691	3147
461	2693	3136
462	2696	3127
463	2698	3116
464	2700	3106
465	2705	3100
466	2707	3090
467	2712	3083
468	2714	3073
469	2716	3063
470	2718	3053
471	2724	3047
472	2726	3037
473	2727	3027
474	2730	3017
475	2732	3007
476	2734	2998
477	2737	2989
478	2739	2979
479	2740	2969
480	2742	2959
481	2745	2950
482	2757	2951
483	2758	2941
484	2760	2931
485	2771	2931
486	2773	2921
487	2776	2912
488	2778	2903
489	2782	2895
490	2784	2886
491	2786	2876
492	2788	2867
493	2789	2857
494	2792	2849
495	2808	2853
496	2814	2848
497	2855	2878
498	2857	2869
499	2859	2859
500	2863	2852
501	2865	2843
502	2867	2833
503	2869	2824
504	2871	2814
505	2873	2805
506	2875	2795
507	2879	2788
508	2890	2788
509	2893	2780
510	2897	2772
511	2904	2768
512	2906	2759
513	2911	2752
514	2913	2743
515	2915	2734
516	2916	2724
517	2918	2715
518	2920	2706
519	2924	2699
520	2927	2691
521	2929	2682
522	2931	2673
523	2933	2664
524	2934	2655
525	2936	2646
526	2943	2642
527	2945	2633
528	2947	2624
529	2949	2615
530	2950	2606
531	2951	2596
532	2957	2591
533	2960	2583
534	2963	2575
535	2965	2566
536	2966	2558
537	2968	2549
538	2971	2541
539	2973	2532
540	2974	2523
541	2976	2514
542	2977	2506
543	2979	2497
544	2981	2489
545	2983	2480
546	2986	2473
547	2988	2465
548	2990	2456
549	2992	2448
550	2993	2439
551	2995	2431
552	2997	2422
553	2999	2415
554	3001	2406
555	3003	2398
556	3004	2389
557	3006	2381
558	3009	2374
559	3011	2366
560	3013	2358
561	3017	2351
562	3019	2343
563	3020	2335
564	3022	2327
565	3024	2318
566	3025	2310
567	3027	2302
568	3029	2294
569	3032	2287
570	3033	2279
571	3035	2271
572	3037	2263
573	3038	2255
574	3040	2247
575	3042	2239
576	3043	2231
577	3046	2223
578	3048	2216
579	3049	2208
580	3051	2200
581	3053	2193
582	3055	2185
583	3057	2177
584	3059	2170
585	3062	2163
586	3064	2156
587	3066	2148
588	3067	2140
589	3070	2133
590	3071	2125
591	3073	2118
592	3075	2110
593	3077	2103
594	3079	2095
595	3080	2088
596	3082	2081
597	3084	2073
598	3086	2066
599	3088	2058
600	3090	2051
601	3092	2044
602	3094	2037
603	3095	2029
604	3097	2022
605	3099	2014
606	3100	2007
607	3102	2000
608	3107	1994
609	3108	1987
610	3110	1980
611	3111	1972
612	3114	1966
613	3116	1959
614	3118	1952
615	3122	1946
616	3124	1939
617	3125	1932
618	3127	1924
619	3129	1917
620	3130	1910
621	3132	1903
622	3135	1897
623	3137	1890
624	3139	1883
625	3141	1876
626	3142	1869
627	3144	1862
628	3146	1855
629	3148	1849
630	3151	1842
631	3154	1836
632	3156	1829
633	3157	1822
634	3159	1816
635	3161	1809
636	3162	1802
637	3165	1796
638	3167	1789
639	3168	1782
640	3170	1775
641	3171	1768
642	3173	1761
643	3175	1755
644	3177	1748
645	3178	1741
646	3180	1735
647	3182	1729
648	3184	1722
649	3186	1715
650	3188	1709
651	3190	1702
652	3191	1696
653	3193	1689
654	3197	1684
655	3199	1677
656	3201	1671
657	3203	1664
658	3205	1658
659	3207	1652
660	3208	1645
661	3211	1639
662	3213	1633
663	3215	1626
664	3216	1620
665	3219	1614
666	3221	1608
667	3223	1602
668	3226	1596
669	3228	1590
670	3230	1584
671	3232	1577
672	3235	1572
673	3238	1566
674	3240	1560
675	3244	1555
676	3246	1548
677	3248	1542
678	3250	1536
679	3251	1530
680	3253	1524
681	3256	1518
682	3259	1512
683	3261	1506
684	3263	1500
685	3265	1494
686	3267	1488
687	3269	1482
688	3271	1476
689	3273	1470
690	3275	1464
691	3276	1458
692	3278	1452
693	3280	1446
694	3282	1440
695	3284	1434
696	3287	1428
697	3289	1423
698	3291	1417
699	3293	1411
700	3295	1405
701	3296	1399
702	3298	1393
703	3299	1387
704	3305	1382
705	3306	1377
706	3308	1371
707	3310	1365
708	3312	1359
709	3313	1353
710	3317	1348
711	3318	1342
712	3321	1336
713	3325	1331
714	3327	1326
715	3330	1321
716	3334	1315
717	3335	1310
718	3337	1304
719	3339	1298
720	3340	1292
721	3342	1286
722	3343	1281
723	3349	1276
724	3350	1271
725	3352	1265
726	3353	1259
727	3355	1253
728	3357	1247
729	3358	1242
730	3360	1236
731	3362	1231
732	3364	1225
733	3366	1220
734	3368	1214
735	3370	1208
736	3372	1203
737	3374	1197
738	3376	1192
739	3377	1186
740	3379	1181
741	3381	1175
742	3383	1170
743	3385	1164
744	3386	1159
745	3388	1153
746	3393	1149
747	3395	1143
748	3397	1138
749	3398	1132
750	3400	1127
751	3402	1122
752	3408	1118
753	3410	1112
754	3412	1107
755	3414	1102
756	3415	1096
757	3417	1091
758	3425	1087
759	3427	1082
760	3429	1077
761	3431	1071
762	3441	1068
763	3442	1063
764	3444	1058
765	3446	1052
766	3449	1047
767	3453	1043
768	3456	1038
769	3459	1033
770	3461	1028
771	3466	1023
772	3469	1018
773	3471	1013
774	3474	1008
775	3476	1003
776	3478	998
777	3480	993
778	3482	987
779	3484	982
780	3487	977
781	3488	972
782	3491	967
783	3493	962
784	3495	957
785	3497	952
786	3499	947
787	3501	941
788	3502	936
789	3504	931
790	3506	926
791	3508	921
792	3509	916
793	3511	910
794	3516	906
795	3518	901
796	3522	897
797	3524	892
798	3526	887
799	3528	882
800	3531	877
801	3532	872
802	3534	867
803	3535	862
804	3537	856
805	3539	851
806	3541	847
807	3544	842
808	3546	837
809	3547	832
810	3550	827
811	3552	822
812	3553	817
813	3555	812
814	3557	807
815	3560	802
816	3563	798
817	3565	793
818	3566	788
819	3568	783
820	3570	778
821	3572	773
822	3576	769
823	3578	764
824	3580	759
825	3582	754
826	3584	749
827	3586	744
828	3588	740
829	3591	735
830	3592	730
831	3594	725
